demo,network,nodes,links,od_pairs,demand,columns,full_space_gap,feasibility,wall_s
grid 10x10,grid,100,360,20,7825.0,280,8.005659494767139e-05,1.7053025658242404e-13,0.2439662999822758
grid 20x20,grid,400,1520,60,23775.0,2750,9.792925524227746e-05,3.410605131648481e-13,1.828929999959655
grid 50x50,grid,2500,9800,200,79825.0,16041,0.0002440942159671157,3.979039320256561e-13,36.241824400029145
IEEE I405N corridor,tfb_I405N,225,313,1058,6128.799999999999,1058,-1.6280142114949335e-16,0.0,0.04595379997044802
Chicago Sketch full,chicago_sketch,933,2950,93135,1137493.4400000002,198683,9.761961359144832e-05,9.094947017729282e-13,11.70713130000513
TRMG2 AM full,trmg2_AM,33963,75939,1039117,458797.12700000004,1063642,4.396909259154561e-07,1.7763568394002505e-15,208.97340210003313
