column_id,traveler_class,tour,tour_type,origin,work,work_node,shopping_node,path_length,legs
0,A,HWH-W1,HWH,"(2, 1)",W1,"(2, 5)",,8,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
1,A,HWH-W1,HWH,"(2, 1)",W1,"(2, 5)",,10,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(1, 5)->(1, 4)->(1, 3)->(1, 2)->(1, 1)->(2, 1)"
2,A,HWH-W1,HWH,"(2, 1)",W1,"(2, 5)",,10,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(1, 4)->(1, 3)->(1, 2)->(1, 1)->(2, 1)"
3,A,HWH-W1,HWH,"(2, 1)",W1,"(2, 5)",,10,"(2, 1)->(1, 1)->(1, 2)->(1, 3)->(1, 4)->(1, 5)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
4,A,HWH-W1,HWH,"(2, 1)",W1,"(2, 5)",,12,"(2, 1)->(1, 1)->(1, 2)->(1, 3)->(1, 4)->(1, 5)->(2, 5) | (2, 5)->(1, 5)->(1, 4)->(1, 3)->(1, 2)->(1, 1)->(2, 1)"
5,A,HWH-W1,HWH,"(2, 1)",W1,"(2, 5)",,12,"(2, 1)->(1, 1)->(1, 2)->(1, 3)->(1, 4)->(1, 5)->(2, 5) | (2, 5)->(2, 4)->(1, 4)->(1, 3)->(1, 2)->(1, 1)->(2, 1)"
6,A,HWH-W1,HWH,"(2, 1)",W1,"(2, 5)",,10,"(2, 1)->(2, 2)->(3, 2)->(3, 3)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
7,A,HWH-W1,HWH,"(2, 1)",W1,"(2, 5)",,12,"(2, 1)->(2, 2)->(3, 2)->(3, 3)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(1, 5)->(1, 4)->(1, 3)->(1, 2)->(1, 1)->(2, 1)"
8,A,HWH-W1,HWH,"(2, 1)",W1,"(2, 5)",,12,"(2, 1)->(2, 2)->(3, 2)->(3, 3)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(1, 4)->(1, 3)->(1, 2)->(1, 1)->(2, 1)"
9,A,HWSH-W1,HWSH,"(2, 1)",W1,"(2, 5)","(3, 3)",10,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(2, 3)->(2, 2)->(2, 1)"
10,A,HWSH-W1,HWSH,"(2, 1)",W1,"(2, 5)","(3, 3)",10,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(2, 2)->(2, 1)"
11,A,HWSH-W1,HWSH,"(2, 1)",W1,"(2, 5)","(3, 3)",10,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(3, 3) | (3, 3)->(2, 3)->(2, 2)->(2, 1)"
12,A,HWSH-W1,HWSH,"(2, 1)",W1,"(2, 5)","(3, 3)",10,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(3, 3) | (3, 3)->(3, 2)->(2, 2)->(2, 1)"
13,A,HWSH-W1,HWSH,"(2, 1)",W1,"(2, 5)","(3, 3)",12,"(2, 1)->(1, 1)->(1, 2)->(1, 3)->(1, 4)->(1, 5)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(2, 3)->(2, 2)->(2, 1)"
14,A,HWSH-W1,HWSH,"(2, 1)",W1,"(2, 5)","(3, 3)",12,"(2, 1)->(1, 1)->(1, 2)->(1, 3)->(1, 4)->(1, 5)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(2, 2)->(2, 1)"
15,A,HWSH-W1,HWSH,"(2, 1)",W1,"(2, 5)","(3, 3)",12,"(2, 1)->(1, 1)->(1, 2)->(1, 3)->(1, 4)->(1, 5)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(3, 3) | (3, 3)->(2, 3)->(2, 2)->(2, 1)"
