column_id,traveler_class,tour,tour_type,origin,work,work_node,shopping_node,path_length,legs
16,A,HWSH-W1,HWSH,"(2, 1)",W1,"(2, 5)","(3, 3)",12,"(2, 1)->(1, 1)->(1, 2)->(1, 3)->(1, 4)->(1, 5)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(3, 3) | (3, 3)->(3, 2)->(2, 2)->(2, 1)"
17,A,HWH-W2,HWH,"(2, 1)",W2,"(4, 5)",,12,"(2, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(2, 5)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
18,A,HWH-W2,HWH,"(2, 1)",W2,"(4, 5)",,12,"(2, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
19,A,HWH-W2,HWH,"(2, 1)",W2,"(4, 5)",,12,"(2, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
20,A,HWH-W2,HWH,"(2, 1)",W2,"(4, 5)",,12,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(2, 5)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
21,A,HWH-W2,HWH,"(2, 1)",W2,"(4, 5)",,12,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
22,A,HWH-W2,HWH,"(2, 1)",W2,"(4, 5)",,12,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
23,A,HWH-W2,HWH,"(2, 1)",W2,"(4, 5)",,12,"(2, 1)->(3, 1)->(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(3, 5)->(2, 5)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
24,A,HWH-W2,HWH,"(2, 1)",W2,"(4, 5)",,12,"(2, 1)->(3, 1)->(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
25,A,HWH-W2,HWH,"(2, 1)",W2,"(4, 5)",,12,"(2, 1)->(3, 1)->(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(2, 4)->(2, 3)->(2, 2)->(2, 1)"
26,A,HWSH-W2,HWSH,"(2, 1)",W2,"(4, 5)","(3, 3)",12,"(2, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(2, 3)->(2, 2)->(2, 1)"
27,A,HWSH-W2,HWSH,"(2, 1)",W2,"(4, 5)","(3, 3)",12,"(2, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(2, 2)->(2, 1)"
28,A,HWSH-W2,HWSH,"(2, 1)",W2,"(4, 5)","(3, 3)",12,"(2, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(3, 3) | (3, 3)->(2, 3)->(2, 2)->(2, 1)"
29,A,HWSH-W2,HWSH,"(2, 1)",W2,"(4, 5)","(3, 3)",12,"(2, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(2, 2)->(2, 1)"
30,A,HWSH-W2,HWSH,"(2, 1)",W2,"(4, 5)","(3, 3)",12,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(2, 3)->(2, 2)->(2, 1)"
31,A,HWSH-W2,HWSH,"(2, 1)",W2,"(4, 5)","(3, 3)",12,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(2, 2)->(2, 1)"
32,A,HWSH-W2,HWSH,"(2, 1)",W2,"(4, 5)","(3, 3)",12,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(3, 3) | (3, 3)->(2, 3)->(2, 2)->(2, 1)"
33,A,HWSH-W2,HWSH,"(2, 1)",W2,"(4, 5)","(3, 3)",12,"(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(2, 2)->(2, 1)"
34,B,HWH-W1,HWH,"(4, 1)",W1,"(2, 5)",,12,"(4, 1)->(3, 1)->(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3)->(3, 2)->(3, 1)->(4, 1)"
35,B,HWH-W1,HWH,"(4, 1)",W1,"(2, 5)",,12,"(4, 1)->(3, 1)->(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(2, 2)->(2, 1)->(3, 1)->(4, 1)"
36,B,HWH-W1,HWH,"(4, 1)",W1,"(2, 5)",,12,"(4, 1)->(3, 1)->(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(4, 5)->(4, 4)->(4, 3)->(4, 2)->(4, 1)"
37,B,HWH-W1,HWH,"(4, 1)",W1,"(2, 5)",,12,"(4, 1)->(4, 2)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3)->(3, 2)->(3, 1)->(4, 1)"
38,B,HWH-W1,HWH,"(4, 1)",W1,"(2, 5)",,12,"(4, 1)->(4, 2)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(2, 2)->(2, 1)->(3, 1)->(4, 1)"
39,B,HWH-W1,HWH,"(4, 1)",W1,"(2, 5)",,12,"(4, 1)->(4, 2)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(4, 5)->(4, 4)->(4, 3)->(4, 2)->(4, 1)"
40,B,HWH-W1,HWH,"(4, 1)",W1,"(2, 5)",,12,"(4, 1)->(3, 1)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3)->(3, 2)->(3, 1)->(4, 1)"
41,B,HWH-W1,HWH,"(4, 1)",W1,"(2, 5)",,12,"(4, 1)->(3, 1)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(2, 2)->(2, 1)->(3, 1)->(4, 1)"
42,B,HWH-W1,HWH,"(4, 1)",W1,"(2, 5)",,12,"(4, 1)->(3, 1)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(4, 5)->(4, 4)->(4, 3)->(4, 2)->(4, 1)"
43,B,HWSH-W1,HWSH,"(4, 1)",W1,"(2, 5)","(3, 3)",12,"(4, 1)->(3, 1)->(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(4, 3)->(4, 2)->(4, 1)"
44,B,HWSH-W1,HWSH,"(4, 1)",W1,"(2, 5)","(3, 3)",12,"(4, 1)->(3, 1)->(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(3, 1)->(4, 1)"
45,B,HWSH-W1,HWSH,"(4, 1)",W1,"(2, 5)","(3, 3)",12,"(4, 1)->(3, 1)->(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(3, 3) | (3, 3)->(4, 3)->(4, 2)->(4, 1)"
46,B,HWSH-W1,HWSH,"(4, 1)",W1,"(2, 5)","(3, 3)",12,"(4, 1)->(3, 1)->(2, 1)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(3, 3) | (3, 3)->(3, 2)->(3, 1)->(4, 1)"
47,B,HWSH-W1,HWSH,"(4, 1)",W1,"(2, 5)","(3, 3)",12,"(4, 1)->(4, 2)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(4, 3)->(4, 2)->(4, 1)"
48,B,HWSH-W1,HWSH,"(4, 1)",W1,"(2, 5)","(3, 3)",12,"(4, 1)->(4, 2)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(3, 1)->(4, 1)"
49,B,HWSH-W1,HWSH,"(4, 1)",W1,"(2, 5)","(3, 3)",12,"(4, 1)->(4, 2)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(3, 3) | (3, 3)->(4, 3)->(4, 2)->(4, 1)"
50,B,HWSH-W1,HWSH,"(4, 1)",W1,"(2, 5)","(3, 3)",12,"(4, 1)->(4, 2)->(3, 2)->(2, 2)->(2, 3)->(2, 4)->(2, 5) | (2, 5)->(2, 4)->(2, 3)->(3, 3) | (3, 3)->(3, 2)->(3, 1)->(4, 1)"
51,B,HWH-W2,HWH,"(4, 1)",W2,"(4, 5)",,8,"(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(4, 4)->(4, 3)->(4, 2)->(4, 1)"
52,B,HWH-W2,HWH,"(4, 1)",W2,"(4, 5)",,10,"(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3)->(3, 2)->(3, 1)->(4, 1)"
53,B,HWH-W2,HWH,"(4, 1)",W2,"(4, 5)",,10,"(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(4, 4)->(5, 4)->(5, 3)->(4, 3)->(4, 2)->(4, 1)"
54,B,HWH-W2,HWH,"(4, 1)",W2,"(4, 5)",,10,"(4, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(4, 3)->(4, 2)->(4, 1)"
55,B,HWH-W2,HWH,"(4, 1)",W2,"(4, 5)",,12,"(4, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3)->(3, 2)->(3, 1)->(4, 1)"
56,B,HWH-W2,HWH,"(4, 1)",W2,"(4, 5)",,12,"(4, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(5, 4)->(5, 3)->(4, 3)->(4, 2)->(4, 1)"
57,B,HWH-W2,HWH,"(4, 1)",W2,"(4, 5)",,10,"(4, 1)->(4, 2)->(5, 2)->(5, 3)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(4, 4)->(4, 3)->(4, 2)->(4, 1)"
58,B,HWH-W2,HWH,"(4, 1)",W2,"(4, 5)",,12,"(4, 1)->(4, 2)->(5, 2)->(5, 3)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3)->(3, 2)->(3, 1)->(4, 1)"
59,B,HWH-W2,HWH,"(4, 1)",W2,"(4, 5)",,12,"(4, 1)->(4, 2)->(5, 2)->(5, 3)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(4, 4)->(5, 4)->(5, 3)->(4, 3)->(4, 2)->(4, 1)"
60,B,HWSH-W2,HWSH,"(4, 1)",W2,"(4, 5)","(3, 3)",10,"(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(4, 3)->(4, 2)->(4, 1)"
61,B,HWSH-W2,HWSH,"(4, 1)",W2,"(4, 5)","(3, 3)",10,"(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(3, 1)->(4, 1)"
62,B,HWSH-W2,HWSH,"(4, 1)",W2,"(4, 5)","(3, 3)",10,"(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(3, 3) | (3, 3)->(4, 3)->(4, 2)->(4, 1)"
63,B,HWSH-W2,HWSH,"(4, 1)",W2,"(4, 5)","(3, 3)",10,"(4, 1)->(4, 2)->(4, 3)->(4, 4)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(3, 1)->(4, 1)"
64,B,HWSH-W2,HWSH,"(4, 1)",W2,"(4, 5)","(3, 3)",12,"(4, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(4, 3)->(4, 2)->(4, 1)"
65,B,HWSH-W2,HWSH,"(4, 1)",W2,"(4, 5)","(3, 3)",12,"(4, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(3, 5)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(3, 1)->(4, 1)"
66,B,HWSH-W2,HWSH,"(4, 1)",W2,"(4, 5)","(3, 3)",12,"(4, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(3, 3) | (3, 3)->(4, 3)->(4, 2)->(4, 1)"
67,B,HWSH-W2,HWSH,"(4, 1)",W2,"(4, 5)","(3, 3)",12,"(4, 1)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(4, 5) | (4, 5)->(4, 4)->(3, 4)->(3, 3) | (3, 3)->(3, 2)->(3, 1)->(4, 1)"
