row_i,column_j,activity_m,activity_flow
1,1,H,0.0
1,1,W,0.0
1,1,S,0.0
1,2,H,0.0
1,2,W,0.0
1,2,S,0.0
1,3,H,0.0
1,3,W,0.0
1,3,S,0.0
1,4,H,0.0
1,4,W,0.0
1,4,S,0.0
1,5,H,0.0
1,5,W,0.0
1,5,S,0.0
2,1,H,500.00000000000057
2,1,W,0.0
2,1,S,0.0
2,2,H,0.0
2,2,W,0.0
2,2,S,0.0
2,3,H,0.0
2,3,W,0.0
2,3,S,0.0
2,4,H,0.0
2,4,W,0.0
2,4,S,0.0
2,5,H,0.0
2,5,W,520.5338497047073
2,5,S,0.0
3,1,H,0.0
3,1,W,0.0
3,1,S,0.0
3,2,H,0.0
3,2,W,0.0
3,2,S,0.0
3,3,H,0.0
3,3,W,0.0
3,3,S,433.55849705827904
3,4,H,0.0
3,4,W,0.0
3,4,S,0.0
3,5,H,0.0
3,5,W,0.0
3,5,S,0.0
4,1,H,500.0000000000004
4,1,W,0.0
4,1,S,0.0
4,2,H,0.0
4,2,W,0.0
4,2,S,0.0
4,3,H,0.0
4,3,W,0.0
4,3,S,0.0
4,4,H,0.0
4,4,W,0.0
4,4,S,0.0
4,5,H,0.0
4,5,W,479.46615029529363
4,5,S,0.0
5,1,H,0.0
5,1,W,0.0
5,1,S,0.0
5,2,H,0.0
5,2,W,0.0
5,2,S,0.0
5,3,H,0.0
5,3,W,0.0
5,3,S,0.0
5,4,H,0.0
5,4,W,0.0
5,4,S,0.0
5,5,H,0.0
5,5,W,0.0
5,5,S,0.0
