row_i,column_j,activity_m,tour_stage_t,value
3,1,W,1,0.0
3,1,W,2,0.0
3,1,W,3,0.0
3,1,S,0,0.0
3,1,S,1,0.0
3,1,S,2,0.0
3,1,S,3,0.0
3,2,H,0,0.0
3,2,H,1,0.0
3,2,H,2,0.0
3,2,H,3,0.0
3,2,W,0,0.0
3,2,W,1,0.0
3,2,W,2,0.0
3,2,W,3,0.0
3,2,S,0,0.0
3,2,S,1,0.0
3,2,S,2,0.0
3,2,S,3,0.0
3,3,H,0,0.0
3,3,H,1,0.0
3,3,H,2,0.0
3,3,H,3,0.0
3,3,W,0,0.0
3,3,W,1,0.0
3,3,W,2,0.0
3,3,W,3,0.0
3,3,S,0,0.0
3,3,S,1,0.0
3,3,S,2,433.55849705827904
3,3,S,3,0.0
3,4,H,0,0.0
3,4,H,1,0.0
3,4,H,2,0.0
3,4,H,3,0.0
3,4,W,0,0.0
3,4,W,1,0.0
3,4,W,2,0.0
3,4,W,3,0.0
3,4,S,0,0.0
3,4,S,1,0.0
3,4,S,2,0.0
3,4,S,3,0.0
3,5,H,0,0.0
3,5,H,1,0.0
3,5,H,2,0.0
3,5,H,3,0.0
3,5,W,0,0.0
3,5,W,1,0.0
3,5,W,2,0.0
3,5,W,3,0.0
3,5,S,0,0.0
3,5,S,1,0.0
3,5,S,2,0.0
3,5,S,3,0.0
4,1,H,0,500.0000000000004
4,1,H,1,0.0
4,1,H,2,0.0
4,1,H,3,500.0000000000004
4,1,W,0,0.0
4,1,W,1,0.0
4,1,W,2,0.0
4,1,W,3,0.0
4,1,S,0,0.0
4,1,S,1,0.0
4,1,S,2,0.0
4,1,S,3,0.0
4,2,H,0,0.0
4,2,H,1,0.0
4,2,H,2,0.0
4,2,H,3,0.0
4,2,W,0,0.0
4,2,W,1,0.0
4,2,W,2,0.0
4,2,W,3,0.0
4,2,S,0,0.0
4,2,S,1,0.0
4,2,S,2,0.0
4,2,S,3,0.0
4,3,H,0,0.0
4,3,H,1,0.0
4,3,H,2,0.0
4,3,H,3,0.0
4,3,W,0,0.0
4,3,W,1,0.0
4,3,W,2,0.0
4,3,W,3,0.0
4,3,S,0,0.0
4,3,S,1,0.0
4,3,S,2,0.0
4,3,S,3,0.0
4,4,H,0,0.0
4,4,H,1,0.0
4,4,H,2,0.0
4,4,H,3,0.0
4,4,W,0,0.0
4,4,W,1,0.0
4,4,W,2,0.0
4,4,W,3,0.0
4,4,S,0,0.0
4,4,S,1,0.0
4,4,S,2,0.0
4,4,S,3,0.0
4,5,H,0,0.0
4,5,H,1,0.0
4,5,H,2,0.0
4,5,H,3,0.0
4,5,W,0,0.0
4,5,W,1,479.46615029529363
4,5,W,2,0.0
4,5,W,3,0.0
4,5,S,0,0.0
4,5,S,1,0.0
4,5,S,2,0.0
4,5,S,3,0.0
5,1,H,0,0.0
5,1,H,1,0.0
5,1,H,2,0.0
5,1,H,3,0.0
5,1,W,0,0.0
5,1,W,1,0.0
5,1,W,2,0.0
5,1,W,3,0.0
5,1,S,0,0.0
5,1,S,1,0.0
5,1,S,2,0.0
5,1,S,3,0.0
5,2,H,0,0.0
5,2,H,1,0.0
5,2,H,2,0.0
5,2,H,3,0.0
5,2,W,0,0.0
5,2,W,1,0.0
5,2,W,2,0.0
5,2,W,3,0.0
5,2,S,0,0.0
5,2,S,1,0.0
5,2,S,2,0.0
5,2,S,3,0.0
5,3,H,0,0.0
5,3,H,1,0.0
5,3,H,2,0.0
5,3,H,3,0.0
5,3,W,0,0.0
5,3,W,1,0.0
5,3,W,2,0.0
5,3,W,3,0.0
5,3,S,0,0.0
5,3,S,1,0.0
5,3,S,2,0.0
5,3,S,3,0.0
5,4,H,0,0.0
5,4,H,1,0.0
5,4,H,2,0.0
5,4,H,3,0.0
5,4,W,0,0.0
5,4,W,1,0.0
5,4,W,2,0.0
5,4,W,3,0.0
5,4,S,0,0.0
5,4,S,1,0.0
5,4,S,2,0.0
5,4,S,3,0.0
5,5,H,0,0.0
5,5,H,1,0.0
5,5,H,2,0.0
5,5,H,3,0.0
5,5,W,0,0.0
5,5,W,1,0.0
5,5,W,2,0.0
5,5,W,3,0.0
5,5,S,0,0.0
5,5,S,1,0.0
5,5,S,2,0.0
5,5,S,3,0.0
