row_i,column_j,activity_m,tour_stage_t,value
1,1,H,0,0.0
1,1,H,1,0.0
1,1,H,2,0.0
1,1,H,3,0.0
1,1,W,0,0.0
1,1,W,1,0.0
1,1,W,2,0.0
1,1,W,3,0.0
1,1,S,0,0.0
1,1,S,1,0.0
1,1,S,2,0.0
1,1,S,3,0.0
1,2,H,0,0.0
1,2,H,1,0.0
1,2,H,2,0.0
1,2,H,3,0.0
1,2,W,0,0.0
1,2,W,1,0.0
1,2,W,2,0.0
1,2,W,3,0.0
1,2,S,0,0.0
1,2,S,1,0.0
1,2,S,2,0.0
1,2,S,3,0.0
1,3,H,0,0.0
1,3,H,1,0.0
1,3,H,2,0.0
1,3,H,3,0.0
1,3,W,0,0.0
1,3,W,1,0.0
1,3,W,2,0.0
1,3,W,3,0.0
1,3,S,0,0.0
1,3,S,1,0.0
1,3,S,2,0.0
1,3,S,3,0.0
1,4,H,0,0.0
1,4,H,1,0.0
1,4,H,2,0.0
1,4,H,3,0.0
1,4,W,0,0.0
1,4,W,1,0.0
1,4,W,2,0.0
1,4,W,3,0.0
1,4,S,0,0.0
1,4,S,1,0.0
1,4,S,2,0.0
1,4,S,3,0.0
1,5,H,0,0.0
1,5,H,1,0.0
1,5,H,2,0.0
1,5,H,3,0.0
1,5,W,0,0.0
1,5,W,1,0.0
1,5,W,2,0.0
1,5,W,3,0.0
1,5,S,0,0.0
1,5,S,1,0.0
1,5,S,2,0.0
1,5,S,3,0.0
2,1,H,0,500.00000000000057
2,1,H,1,0.0
2,1,H,2,0.0
2,1,H,3,500.00000000000057
2,1,W,0,0.0
2,1,W,1,0.0
2,1,W,2,0.0
2,1,W,3,0.0
2,1,S,0,0.0
2,1,S,1,0.0
2,1,S,2,0.0
2,1,S,3,0.0
2,2,H,0,0.0
2,2,H,1,0.0
2,2,H,2,0.0
2,2,H,3,0.0
2,2,W,0,0.0
2,2,W,1,0.0
2,2,W,2,0.0
2,2,W,3,0.0
2,2,S,0,0.0
2,2,S,1,0.0
2,2,S,2,0.0
2,2,S,3,0.0
2,3,H,0,0.0
2,3,H,1,0.0
2,3,H,2,0.0
2,3,H,3,0.0
2,3,W,0,0.0
2,3,W,1,0.0
2,3,W,2,0.0
2,3,W,3,0.0
2,3,S,0,0.0
2,3,S,1,0.0
2,3,S,2,0.0
2,3,S,3,0.0
2,4,H,0,0.0
2,4,H,1,0.0
2,4,H,2,0.0
2,4,H,3,0.0
2,4,W,0,0.0
2,4,W,1,0.0
2,4,W,2,0.0
2,4,W,3,0.0
2,4,S,0,0.0
2,4,S,1,0.0
2,4,S,2,0.0
2,4,S,3,0.0
2,5,H,0,0.0
2,5,H,1,0.0
2,5,H,2,0.0
2,5,H,3,0.0
2,5,W,0,0.0
2,5,W,1,520.5338497047073
2,5,W,2,0.0
2,5,W,3,0.0
2,5,S,0,0.0
2,5,S,1,0.0
2,5,S,2,0.0
2,5,S,3,0.0
3,1,H,0,0.0
3,1,H,1,0.0
3,1,H,2,0.0
3,1,H,3,0.0
3,1,W,0,0.0
