scenario,objective,objective_per_person,network_time_per_person,W1_share,W2_share,shopping_share,max_vc,iterations
Base measured land use,13775.735612786259,13.775735612786258,9.313916001527069,0.5205338497047073,0.4794661502952936,0.43355849705827904,0.7541929378343013,112
Employment shifted to W2,13686.842648415934,13.686842648415933,9.411933613761489,0.38788235189837406,0.6121176481016259,0.4449224869073149,0.8161354694507393,114
Central capacity -40%,13792.570181581117,13.792570181581118,9.347771430800934,0.5201174146067964,0.4798825853932049,0.4144964851980086,1.0346294011524138,112
