k_paths,n_columns,certified_objective,certified_gap,active_columns_certified,static_bias,static_bias_rel,static_full_gap,static_atoms,compression,adaptive_promotions,adaptive_final_gap,adaptive_atoms,pricing_calls_static,pricing_calls_adaptive,wall_certified,wall_static,wall_adaptive
2,66,51829942.24841697,9.955453077822695e-08,46,1029.6921268999577,1.9866742701829026e-05,0.0015333921823388744,66,1.0,0,0.004124177690990347,66,13200,8250,3.190943799971137,0.3098368999781087,0.18510619999142364
4,132,21971630.864978664,9.977363419638049e-08,50,23563381.869111456,1.0724457375929222,2.203553214250582,66,2.0,37,0.026980189581541587,103,13200,24750,10.515146300022025,1.3357653000275604,2.559267300006468
6,198,19814822.149134845,9.987203556845881e-08,57,42585063.780540764,2.1491519560472114,3.1959611663737215,66,3.0,49,0.006765740516031843,115,13200,33000,6.991131899994798,1.5703250000369735,4.024117099994328
8,264,19814822.14912648,9.875099691806096e-08,57,51213461.131879404,2.5846036238148673,2.981668328723852,66,4.0,52,0.004488671561548338,118,13200,39369,7.1590981999761425,4.4487120999838226,3.9039228999754414
12,396,19690780.460814323,9.97012738398913e-08,61,53167511.3628723,2.7001220936203323,3.739297576097877,66,6.0,59,0.000986665052712276,125,13200,57750,7.8280679999734275,1.5462292999727651,6.059866700030398
16,528,19690780.460815243,9.893812932198683e-08,62,58140514.703283556,2.952677006327072,4.04123756061273,66,8.0,70,0.0006608556577433635,136,13200,57750,7.381596299994271,0.9201657000230625,6.658942100009881
